Industry,GrowthRate,DemandScore,CompetitionLevel
Cloud Kitchen,0.85,High,Medium
AI Services,0.92,Very High,Medium
Digital Marketing,0.78,High,High
Fitness Studio,0.65,Medium,Medium
EV Charging Station,0.88,Very High,Low
Solar Installation,0.82,High,Low
Online Education,0.80,High,Medium
Organic Grocery,0.70,Medium,Medium
E-commerce Logistics,0.84,High,Medium
Mobile Repair Services,0.60,Medium,Low
Co-working Space,0.72,Medium,Medium
Health Diagnostics,0.86,High,Medium
Food Delivery Services,0.83,High,High
Gaming Cafe,0.68,Medium,Medium
Pet Care Services,0.75,High,Low